tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Partly cloudy,Rainy,Overcast,Clear,Snow
30.6,20.8,25.1,34.2,20.8,25.9,19.3,70.8,0.71,100,12.5,rain,0.0,0.0,23.4,16.2,184.6,1011.6,50.2,15.7,214.5,18.5,9,0.74,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
32.0,23.7,27.1,32.3,23.7,27.5,19.0,64.0,4.841,100,12.5,rain,0.0,0.0,38.2,25.2,307.1,1011.3,61.5,15.8,224.1,19.2,7,0.75,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
32.8,22.6,28.2,32.8,22.6,28.4,16.3,49.5,0.0,0,0.0,none,0.0,0.0,30.6,21.9,301.6,1017.6,48.4,16.0,270.1,23.3,9,0.8,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
33.1,24.0,27.9,36.3,24.0,28.9,19.2,60.0,0.011,100,4.17,rain,0.0,0.0,24.1,22.9,219.4,1020.7,38.8,16.0,201.6,17.3,9,0.83,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
33.3,22.6,27.6,36.0,22.6,28.8,19.9,64.3,0.0,0,0.0,none,0.0,0.0,46.4,31.9,184.4,1020.7,50.4,16.0,269.9,23.2,10,0.87,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
34.7,22.0,27.8,36.7,22.0,29.0,19.9,63.7,1.205,100,16.67,rain,0.0,0.0,50.0,20.1,229.2,1017.4,57.0,16.0,253.7,21.7,8,0.9,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
33.2,22.7,28.2,32.5,22.7,28.0,16.2,51.1,0.767,100,4.17,rain,0.0,0.0,48.7,38.1,320.5,1011.7,45.8,16.0,313.4,27.1,10,0.93,2019,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
30.6,20.9,25.8,29.7,20.9,25.6,13.1,46.2,0.0,0,0.0,none,0.0,0.0,31.7,18.8,356.0,1014.6,44.0,16.0,316.8,27.1,10,0.96,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
34.2,20.8,26.5,37.3,20.8,27.5,18.8,64.4,10.426,100,25.0,rain,0.0,0.0,53.5,21.7,214.0,1012.3,47.9,15.7,255.4,21.9,9,0.0,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33.3,23.2,28.3,36.0,23.2,29.7,20.7,65.6,0.0,0,0.0,none,0.0,0.0,35.1,20.6,325.6,1012.1,41.3,16.0,260.0,22.4,9,0.03,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32.1,24.9,27.4,36.1,24.9,29.0,22.3,74.7,5.334,100,25.0,rain,0.0,0.0,37.7,21.1,66.5,1016.4,59.2,15.3,170.4,14.8,7,0.07,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
